INFO:root:Number of parameters: 4230654
INFO:root:078: Acc-tr:  98.19, Acc-val:  73.14, L-tr: 0.0617, L-val: 2.1105, Time: 857.695023
INFO:root:079: Acc-tr:  98.20, Acc-val:  72.46, L-tr: 0.0587, L-val: 2.1538, Time: 868.625553
INFO:root:080: Acc-tr:  98.10, Acc-val:  72.87, L-tr: 0.0655, L-val: 2.2756, Time: 879.666538
INFO:root:081: Acc-tr:  98.26, Acc-val:  72.11, L-tr: 0.0631, L-val: 2.1922, Time: 890.610263
INFO:root:082: Acc-tr:  97.76, Acc-val:  72.62, L-tr: 0.0805, L-val: 1.8981, Time: 901.514128
INFO:root:083: Acc-tr:  98.28, Acc-val:  73.67, L-tr: 0.0576, L-val: 1.9852, Time: 912.339560
INFO:root:084: Acc-tr:  98.50, Acc-val:  73.13, L-tr: 0.0511, L-val: 2.1704, Time: 923.167466
INFO:root:085: Acc-tr:  98.76, Acc-val:  74.13, L-tr: 0.0419, L-val: 2.2557, Time: 934.158442
INFO:root:086: Acc-tr:  98.07, Acc-val:  73.05, L-tr: 0.0694, L-val: 2.1440, Time: 945.103710
INFO:root:087: Acc-tr:  98.34, Acc-val:  74.10, L-tr: 0.0575, L-val: 2.0239, Time: 956.113965
INFO:root:088: Acc-tr:  98.25, Acc-val:  72.76, L-tr: 0.0620, L-val: 2.1518, Time: 967.270693
INFO:root:089: Acc-tr:  98.21, Acc-val:  73.08, L-tr: 0.0656, L-val: 2.1118, Time: 978.204353
INFO:root:090: Acc-tr:  98.91, Acc-val:  73.45, L-tr: 0.0389, L-val: 2.1367, Time: 989.301965
INFO:root:091: Acc-tr:  98.84, Acc-val:  73.06, L-tr: 0.0399, L-val: 2.3096, Time: 1000.400462
INFO:root:092: Acc-tr:  98.25, Acc-val:  73.41, L-tr: 0.0599, L-val: 2.0785, Time: 1011.230854
INFO:root:093: Acc-tr:  98.72, Acc-val:  73.11, L-tr: 0.0448, L-val: 2.2680, Time: 1022.013699
INFO:root:094: Acc-tr:  98.66, Acc-val:  73.41, L-tr: 0.0472, L-val: 2.1046, Time: 1032.951332
INFO:root:095: Acc-tr:  98.51, Acc-val:  73.28, L-tr: 0.0511, L-val: 2.2151, Time: 1043.813362
INFO:root:096: Acc-tr:  98.27, Acc-val:  73.76, L-tr: 0.0614, L-val: 2.1111, Time: 1054.631208
INFO:root:097: Acc-tr:  98.74, Acc-val:  72.95, L-tr: 0.0421, L-val: 2.1586, Time: 1065.393847
INFO:root:098: Acc-tr:  98.62, Acc-val:  73.48, L-tr: 0.0469, L-val: 2.0993, Time: 1076.160954
INFO:root:099: Acc-tr:  98.91, Acc-val:  73.26, L-tr: 0.0378, L-val: 2.1603, Time: 1087.254933
INFO:root:100: Acc-tr:  98.44, Acc-val:  73.31, L-tr: 0.0539, L-val: 2.1661, Time: 1098.377078
INFO:root:101: Acc-tr:  98.53, Acc-val:  73.56, L-tr: 0.0495, L-val: 2.1210, Time: 1109.135429
INFO:root:102: Acc-tr:  98.49, Acc-val:  73.99, L-tr: 0.0534, L-val: 2.0116, Time: 1120.074701
INFO:root:103: Acc-tr:  99.18, Acc-val:  73.97, L-tr: 0.0281, L-val: 2.1478, Time: 1131.013714
INFO:root:104: Acc-tr:  98.51, Acc-val:  73.49, L-tr: 0.0543, L-val: 2.0059, Time: 1141.893879
INFO:root:105: Acc-tr:  98.81, Acc-val:  73.64, L-tr: 0.0377, L-val: 2.1251, Time: 1152.697049
INFO:root:106: Acc-tr:  98.85, Acc-val:  73.99, L-tr: 0.0384, L-val: 2.0042, Time: 1163.600750
INFO:root:107: Acc-tr:  98.85, Acc-val:  74.29, L-tr: 0.0412, L-val: 2.0624, Time: 1174.391916
INFO:root:108: Acc-tr:  98.79, Acc-val:  73.50, L-tr: 0.0415, L-val: 2.2003, Time: 1185.190179
INFO:root:109: Acc-tr:  98.59, Acc-val:  74.23, L-tr: 0.0491, L-val: 1.9803, Time: 1196.145066
INFO:root:110: Acc-tr:  99.13, Acc-val:  73.74, L-tr: 0.0294, L-val: 2.0460, Time: 1207.115999
INFO:root:111: Acc-tr:  99.54, Acc-val:  74.86, L-tr: 0.0148, L-val: 2.2741, Time: 1217.851095
INFO:root:112: Acc-tr:  99.39, Acc-val:  73.87, L-tr: 0.0198, L-val: 2.1720, Time: 1228.744586
INFO:root:113: Acc-tr:  99.24, Acc-val:  73.34, L-tr: 0.0248, L-val: 2.4534, Time: 1239.590555
INFO:root:114: Acc-tr:  98.84, Acc-val:  73.84, L-tr: 0.0393, L-val: 2.1074, Time: 1250.405060
INFO:root:115: Acc-tr:  99.19, Acc-val:  73.89, L-tr: 0.0259, L-val: 2.0715, Time: 1261.462039
INFO:root:116: Acc-tr:  99.07, Acc-val:  73.89, L-tr: 0.0335, L-val: 2.0609, Time: 1272.327940
INFO:root:117: Acc-tr:  98.80, Acc-val:  73.61, L-tr: 0.0442, L-val: 2.1054, Time: 1283.345549
INFO:root:118: Acc-tr:  99.03, Acc-val:  73.19, L-tr: 0.0348, L-val: 2.0953, Time: 1294.322099
INFO:root:119: Acc-tr:  99.18, Acc-val:  73.74, L-tr: 0.0264, L-val: 2.1847, Time: 1305.971549
INFO:root:120: Acc-tr:  99.04, Acc-val:  74.25, L-tr: 0.0324, L-val: 2.0118, Time: 1317.203470
INFO:root:121: Acc-tr:  99.20, Acc-val:  73.93, L-tr: 0.0266, L-val: 2.1231, Time: 1329.297968
INFO:root:122: Acc-tr:  99.32, Acc-val:  74.44, L-tr: 0.0226, L-val: 2.0692, Time: 1341.370629
INFO:root:123: Acc-tr:  98.82, Acc-val:  73.11, L-tr: 0.0405, L-val: 1.9713, Time: 1353.232507
INFO:root:124: Acc-tr:  99.04, Acc-val:  73.48, L-tr: 0.0322, L-val: 1.9704, Time: 1365.424069
INFO:root:125: Acc-tr:  99.03, Acc-val:  74.31, L-tr: 0.0305, L-val: 1.9229, Time: 1377.295090
INFO:root:126: Acc-tr:  99.07, Acc-val:  74.19, L-tr: 0.0324, L-val: 1.9421, Time: 1389.103397
